Sequence_ID	Category_2
0	group8
1	group8
2	group6
3	group2
4	group8
5	group2
6	group4
7	group3
8	group2
9	group2
10	group1
11	group8
12	group3
13	group8
14	group3
15	group2
16	group2
17	group5
18	group7
19	group4
20	group3
21	group8
22	group8
23	group4
24	group3
25	group2
26	group6
27	group3
28	group8
29	group7
30	group5
31	group7
32	group7
33	group6
34	group3
35	group7
36	group6
37	group4
38	group4
39	group8
40	group3
41	group7
42	group1
43	group2
44	group5
45	group8
46	group5
47	group7
48	group4
49	group2
50	group5
51	group6
52	group3
53	group8
54	group4
55	group4
56	group8
57	group7
58	group5
59	group7
60	group6
61	group2
62	group7
63	group1
64	group4
65	group4
66	group4
67	group7
68	group4
69	group5
70	group3
71	group4
72	group8
73	group3
74	group7
75	group4
76	group1
77	group2
78	group2
79	group3
80	group2
81	group2
82	group8
83	group4
84	group4
85	group1
86	group6
87	group1
88	group5
89	group1
90	group2
91	group3
92	group6
93	group4
94	group5
95	group4
96	group5
97	group2
98	group5
99	group7
100	group1
101	group6
102	group5
103	group3
104	group7
105	group5
106	group3
107	group3
108	group6
109	group3
110	group8
111	group7
112	group3
113	group6
114	group8
115	group7
116	group2
117	group5
118	group8
119	group4
120	group5
121	group3
122	group6
123	group4
124	group6
125	group7
126	group5
127	group3
128	group7
129	group6
130	group6
131	group6
132	group7
133	group7
134	group1
135	group3
136	group4
137	group3
138	group7
139	group6
140	group2
141	group1
142	group7
143	group8
144	group2
145	group3
146	group7
147	group4
148	group3
149	group2
150	group5
151	group5
152	group6
153	group3
154	group4
155	group7
156	group8
157	group1
158	group7
159	group2
160	group6
161	group1
162	group4
163	group3
164	group3
165	group7
166	group8
167	group2
168	group4
169	group3
170	group2
171	group3
172	group4
173	group4
174	group2
175	group1
176	group4
177	group2
178	group5
179	group2
180	group3
181	group2
182	group1
183	group8
184	group5
185	group7
186	group7
187	group3
188	group3
189	group2
190	group1
191	group4
192	group4
193	group2
194	group6
195	group1
196	group3
197	group7
198	group6
199	group4
200	group5
201	group4
202	group7
203	group1
204	group2
205	group1
206	group4
207	group4
208	group6
209	group5
210	group6
211	group2
212	group2
213	group4
214	group2
215	group1
216	group4
217	group7
218	group4
219	group4
220	group6
221	group8
222	group2
223	group8
224	group2
225	group2
226	group2
227	group8
228	group1
229	group6
230	group1
231	group1
232	group3
233	group3
234	group4
235	group1
236	group8
237	group4
238	group1
239	group8
240	group3
241	group6
242	group2
243	group3
244	group8
245	group5
246	group1
247	group3
248	group4
249	group4
250	group4
251	group2
252	group1
253	group2
254	group8
255	group2
256	group3
257	group7
258	group5
259	group5
260	group1
261	group7
262	group1
263	group3
264	group8
265	group5
266	group8
267	group1
268	group1
269	group1
270	group6
271	group3
272	group8
273	group2
274	group2
275	group3
276	group8
277	group3
278	group6
279	group8
280	group7
281	group7
282	group6
283	group6
284	group8
285	group1
286	group3
287	group6
288	group3
289	group3
290	group1
291	group8
292	group3
293	group4
294	group4
295	group2
296	group4
297	group6
298	group5
299	group6
300	group1
301	group5
302	group7
303	group2
304	group5
305	group8
306	group5
307	group8
308	group4
309	group6
310	group5
311	group7
312	group2
313	group2
314	group5
315	group3
316	group4
317	group3
318	group3
319	group8
320	group5
321	group4
322	group1
323	group5
324	group1
325	group6
326	group5
327	group3
328	group8
329	group7
330	group4
331	group2
332	group5
333	group7
334	group5
335	group1
336	group5
337	group3
338	group4
339	group2
340	group2
341	group8
342	group6
343	group1
344	group4
345	group1
346	group5
347	group5
348	group3
349	group1
350	group5
351	group4
352	group2
353	group6
354	group6
355	group8
356	group3
357	group8
358	group2
359	group4
360	group8
361	group4
362	group4
363	group3
364	group8
365	group3
366	group3
367	group5
368	group3
369	group2
370	group5
371	group3
372	group6
373	group5
374	group2
375	group4
376	group5
377	group6
378	group6
379	group6
380	group1
381	group2
382	group8
383	group1
384	group2
385	group1
386	group6
387	group8
388	group4
389	group8
390	group2
391	group7
392	group2
393	group4
394	group2
395	group1
396	group5
397	group2
398	group6
399	group5
400	group2
401	group1
402	group7
403	group1
404	group8
