Sequence_ID	Category_1
PKN60125 [Deltaproteobacteria bacterium HGW-Deltaproteobacteria-11]	group6
PHX78185 [Planctomycetaceae bacterium]	group3
OYY52705 [Polaromonas sp. 24-62-144]	group7
RCL36828 [Puniceicoccaceae bacterium]	group5
WP_106608680 [Shimia abyssi]	group2
WP_015471260 [Bdellovibrio exovorus JSS]	group4
OQY30225 [Candidatus Cloacimonetes bacterium 4572_55]	group6
WP_018974549 [Rudaea cellulosilytica]	group1
EAY62426 [Burkholderia cenocepacia PC184]	group4
WP_090721560 [Nitrosomonas sp. Nm166]	group5
WP_076939831 [Serratia oryzae]	group2
RKX23051 [candidate division Zixibacteria bacterium]	group5
WP_085051622 [Nitrospirae bacterium HCH-1]	group7
WP_085544310 [Dethiosulfovibrio salsuginis]	group4
WP_105244908 [Psychrobacter sp. Marseille-P5312]	group3
OLE57625 [Chloroflexi bacterium 13_1_20CM_2_59_7]	group4
PIE52739 [Candidatus Fermentibacteria bacterium]	group7
PLX77716 [Desulfuromonas sp.]	group7
WP_008487356 [Idiomarina xiamenensis 10-D-4]	group3
WP_037015677 [Rhizobiales bacterium YIM 77505]	group3
WP_016341329 [Idiomarina sp.]	group6
WP_143151824 [Fibrobacter sp. UWR3]	group7
WP_105298020 [Apibacter sp. wkB309]	group1
WP_091458775 [Giesbergeria anulus]	group4
WP_017759311 [Pseudacidovorax intermedius]	group3
KXK41668 [Bacteroidetes bacterium OLB11]	group2
WP_111351056 [Acuticoccus sp. PTG4-2]	group4
WP_127056955 [Legionella sp. km524]	group2
WP_027851822 [Marinospirillum insulare]	group2
WP_022636570 [Chitinivibrio alkaliphilus ACht1]	group1
WP_130597464 [Shewanella sp. D4-2]	group6
WP_064048950 [Ralstonia solanacearum]	group1
RYG26160 [bacterium]	group7
OJX08149 [Burkholderiales bacterium 70-64]	group7
WP_099347819 [Acetobacter aceti]	group7
PLX41265 [Deltaproteobacteria bacterium]	group7
RMG90621 [Zetaproteobacteria bacterium]	group7
WP_121666205 [Mesonia aquimarina]	group6
PYV01336 [Acidobacteria bacterium]	group1
OGO95839 [Curvibacter sp. GWA2_63_95]	group5
OPY76164 [Syntrophorhabdus sp. PtaU1.Bin058]	group4
KJS31979 [Pseudomonas sp. BRH_c35]	group3
WP_086181959 [Acinetobacter sp. ANC 4558]	group1
WP_008838047 [Mesorhizobium alhagi CCNWXJ12-2]	group1
QDO98280 [Ferrovibrio sp. K5]	group6
WP_064540064 [Xanthomonas translucens pv. poae]	group6
WP_107752128 [Pararhodobacter aggregans]	group6
PYF93865 [Pseudomonas sp. OV467]	group5
BBI61094 [Halomonas sulfidaeris]	group1
WP_085824080 [Ruegeria meonggei]	group4
WP_129721862 [Clostridiales bacterium SYSU GA17129]	group1
OJV89829 [Gammaproteobacteria bacterium 39-13]	group3
WP_015434232 [Azoarcus sp. KH32C]	group3
WP_054125325 [beta proteobacterium AAP99]	group2
WP_032978308 [Bordetella hinzii]	group4
WP_013219326 [Nitrosococcus watsonii C-113]	group2
WP_067457564 [Devosia elaeis]	group4
OJW50712 [Candidatus Accumulibacter sp. 66-26]	group3
OGO93573 [Coxiella sp. RIFCSPHIGHO2_12_FULL_42_15]	group1
TDJ78910 [Planctomycetes bacterium]	group2
WP_099277334 [Limimaricola cinnabarinus]	group2
WP_133842814 [Erwinia rhapontici]	group3
WP_112485656 [Thiomonas sp. X19]	group4
WP_092495446 [bacterium A52C2]	group3
PZO66282 [Pseudoxanthomonas suwonensis]	group3
WP_046695963 [Moraxella bovoculi]	group2
WP_033483571 [Xanthomonas citri]	group2
WP_086465943 [Oceanibaculum nanhaiense]	group1
WP_011179348 [Bartonella quintana]	group2
WP_141919135 [Zymomonas mobilis]	group5
WP_105043180 [Rubritalea profundi]	group7
WP_094035377 [Antarctobacter heliothermus]	group7
WP_045224814 [Methyloterricola oryzae]	group3
WP_073614425 [Desulfopila aestuarii DSM 18488]	group5
OFZ70588 [Bdellovibrionales bacterium RIFOXYC2_FULL_39_8]	group6
WP_009144280 [Succinatimonas hippei YIT 12066]	group3
WP_027201487 [Butyricimonas virosa]	group5
QCI17741 [Buchnera aphidicola (Acyrthosiphon lactucae)]	group3
PWM29392 [Verrucomicrobia bacterium]	group4
WP_124025010 [Buttiauxella warmboldiae]	group5
WP_008174954 [Marinobacter manganoxydans MnI7-9]	group2
WP_005010247 [Nitrospina gracilis 3/211]	group7
WP_122125543 [Bacteroides sp. AF16-49]	group7
WP_047496295 [Terriglobus sp. TAA 43]	group4
WP_110664912 [Salinicola halophilus]	group6
WP_113775878 [Loktanella sp. D2R18]	group6
GDX63449 [Chlorobi bacterium]	group4
WP_125484846 [Edaphobacter aggregans]	group4
WP_128454702 [Sphingomonas sp. UV9]	group2
WP_120238594 [Marinifilum flexuosum]	group4
WP_062625927 [Ferriphaselus amnicola]	group7
WP_046561961 [Kangiella geojedonensis]	group3
WP_115899699 [Tenacibaculum gallaicum]	group1
WP_107240911 [Photobacterium frigidiphilum]	group7
PYX45333 [Acidobacteria bacterium]	group4
WP_091752657 [Methylobacterium sp. ap11]	group6
WP_011479543 [Methylobacillus flagellatus KT]	group2
WP_094019995 [Maliponia aquimaris]	group6
XP_021274790 [Herrania umbratica]	group4
WP_138241126 [Photobacterium damselae subsp. damselae]	group6
TAK16479 [Rhizorhabdus sp.]	group5
PJI96772 [Acidovorax sp. 69]	group7
WP_092057845 [Desulfuromonas acetexigens]	group6
WP_131913431 [Celerinatantimonas diazotrophica]	group4
OUV15512 [Verrucomicrobiaceae bacterium TMED86]	group6
WP_067561355 [Halofilum ochraceum]	group2
WP_024812263 [Oceanicola sp. HL-35]	group6
SNR65211 [Paracoccus sediminis]	group7
RZL41325 [Variovorax sp.]	group2
WP_070125114 [Alteromonas confluentis]	group7
WP_121771835 [Corallococcus sp. AB047A]	group3
WP_139850734 [Acinetobacter sp. S23]	group4
PZQ49185 [Rhodovulum sulfidophilum]	group4
WP_114698149 [Polynucleobacter necessarius]	group4
OGS75358 [Gallionellales bacterium GWA2_60_142]	group6
WP_002626897 [Cystobacter fuscus DSM 2262]	group3
OUT82935 [Rhizobiales bacterium TMED28]	group2
WP_140075249 [Vibrio parahaemolyticus]	group4
WP_131911181 [Celerinatantimonas diazotrophica]	group7
RKY31101 [Candidatus Omnitrophica bacterium]	group5
QCI24982 [Buchnera aphidicola (Rhopalosiphum padi)]	group4
WP_089399406 [Noviherbaspirillum humi]	group1
WP_021770678 [Mitsuokella sp. oral taxon 131 str. W9106]	group2
WP_130063701 [Alistipes finegoldii]	group6
AQS41637 [Candidatus Tokpelaia hoelldoblerii]	group3
WP_024993706 [Bacteroides paurosaccharolyticus]	group4
WP_103948002 [Lelliottia aquatilis]	group1
WP_136351929 [Bacillus sp. DSL-17]	group4
WP_007080733 [Rhodanobacter fulvus Jip2]	group5
OGS75433 [Gallionellales bacterium GWA2_55_18]	group4
OGD74556 [Candidatus Coatesbacteria bacterium RBG_13_66_14]	group7
WP_128177479 [Pantoea sp. LMG 27579]	group6
WP_131328047 [Arachidicoccus sp. B3-10]	group5
PIW61155 [Shewanella sp. CG12_big_fil_rev_8_21_14_0_65_47_15]	group6
WP_115375218 [Adhaeribacter sp. HMF7616]	group4
TEY13533 [Salvia splendens]	group4
