Sequence_ID	Param_1	Param2
PKN60125 [Deltaproteobacteria bacterium HGW-Deltaproteobacteria-11]	370	0.44985134281069217
PHX78185 [Planctomycetaceae bacterium]	792	0.15973529135790643
OYY52705 [Polaromonas sp. 24-62-144]	103	0.18929589215312648
RCL36828 [Puniceicoccaceae bacterium]	248	0.5671886036905018
WP_106608680 [Shimia abyssi]	444	0.16812441588038107
WP_015471260 [Bdellovibrio exovorus JSS]	176	0.7409559347210408
OQY30225 [Candidatus Cloacimonetes bacterium 4572_55]	334	0.4548699028372791
WP_018974549 [Rudaea cellulosilytica]	564	0.47672783709366284
EAY62426 [Burkholderia cenocepacia PC184]	209	0.4155325506297052
WP_090721560 [Nitrosomonas sp. Nm166]	911	0.4148718446613382
WP_076939831 [Serratia oryzae]	727	0.6651555576815888
RKX23051 [candidate division Zixibacteria bacterium]	407	0.8499631403726218
WP_085051622 [Nitrospirae bacterium HCH-1]	65	0.5693754258754665
WP_085544310 [Dethiosulfovibrio salsuginis]	15	0.989027552836256
WP_105244908 [Psychrobacter sp. Marseille-P5312]	734	0.06932203900903056
OLE57625 [Chloroflexi bacterium 13_1_20CM_2_59_7]	356	0.6443558212965028
PIE52739 [Candidatus Fermentibacteria bacterium]	994	0.22074403588374536
PLX77716 [Desulfuromonas sp.]	869	0.18365329153850318
WP_008487356 [Idiomarina xiamenensis 10-D-4]	554	0.33366774112294595
WP_037015677 [Rhizobiales bacterium YIM 77505]	141	0.5788413366565373
WP_016341329 [Idiomarina sp.]	346	0.8883278473432877
WP_143151824 [Fibrobacter sp. UWR3]	430	0.8179672344274984
WP_105298020 [Apibacter sp. wkB309]	690	0.6115884306718083
WP_091458775 [Giesbergeria anulus]	65	0.33013406351120034
WP_017759311 [Pseudacidovorax intermedius]	365	0.7314211546368407
KXK41668 [Bacteroidetes bacterium OLB11]	276	0.8481851975721941
WP_111351056 [Acuticoccus sp. PTG4-2]	222	0.20160043673453765
WP_127056955 [Legionella sp. km524]	742	0.9225367280120178
WP_027851822 [Marinospirillum insulare]	545	0.14515335530618378
WP_022636570 [Chitinivibrio alkaliphilus ACht1]	807	0.8644368254105735
WP_130597464 [Shewanella sp. D4-2]	441	0.04320444069525886
WP_064048950 [Ralstonia solanacearum]	926	0.5321874884078996
RYG26160 [bacterium]	837	0.031020723465709832
OJX08149 [Burkholderiales bacterium 70-64]	174	0.9392070886374391
WP_099347819 [Acetobacter aceti]	394	0.9828914532753998
PLX41265 [Deltaproteobacteria bacterium]	589	0.24333939041441977
RMG90621 [Zetaproteobacteria bacterium]	227	0.632698427164824
WP_121666205 [Mesonia aquimarina]	890	0.37282214100395206
PYV01336 [Acidobacteria bacterium]	318	0.7111535326126545
OGO95839 [Curvibacter sp. GWA2_63_95]	330	0.962571722938655
OPY76164 [Syntrophorhabdus sp. PtaU1.Bin058]	317	0.7278940625961284
KJS31979 [Pseudomonas sp. BRH_c35]	629	0.6851564457369193
WP_086181959 [Acinetobacter sp. ANC 4558]	96	0.2412071135404238
WP_008838047 [Mesorhizobium alhagi CCNWXJ12-2]	433	0.5894738100655942
QDO98280 [Ferrovibrio sp. K5]	861	0.652903272503936
WP_064540064 [Xanthomonas translucens pv. poae]	70	0.44643740522844233
WP_107752128 [Pararhodobacter aggregans]	806	0.5853908229868248
PYF93865 [Pseudomonas sp. OV467]	700	0.32098119197817654
BBI61094 [Halomonas sulfidaeris]	502	0.7792825490954584
WP_085824080 [Ruegeria meonggei]	988	0.11717548373491449
WP_129721862 [Clostridiales bacterium SYSU GA17129]	431	0.4216900004135533
OJV89829 [Gammaproteobacteria bacterium 39-13]	6	0.8219561782686469
WP_015434232 [Azoarcus sp. KH32C]	437	0.39412025762234193
WP_054125325 [beta proteobacterium AAP99]	533	0.301694225864536
WP_032978308 [Bordetella hinzii]	445	0.05718291751954718
WP_013219326 [Nitrosococcus watsonii C-113]	343	0.27837968068970476
WP_067457564 [Devosia elaeis]	607	0.6772403479961797
OJW50712 [Candidatus Accumulibacter sp. 66-26]	719	0.9370233001559192
OGO93573 [Coxiella sp. RIFCSPHIGHO2_12_FULL_42_15]	599	0.8251684786426557
TDJ78910 [Planctomycetes bacterium]	938	0.16846276610246824
WP_099277334 [Limimaricola cinnabarinus]	40	0.6911244159327748
WP_133842814 [Erwinia rhapontici]	704	0.09710070145136884
WP_112485656 [Thiomonas sp. X19]	915	0.4688691952431705
WP_092495446 [bacterium A52C2]	367	0.5081179690795057
PZO66282 [Pseudoxanthomonas suwonensis]	204	0.22544610073570837
WP_046695963 [Moraxella bovoculi]	455	0.06274261479619214
WP_033483571 [Xanthomonas citri]	935	0.2680574087002918
WP_086465943 [Oceanibaculum nanhaiense]	814	0.4317509127580871
