Sequence_ID	Param_1	Param2
XP_047304210.1| protein cereblon isoform X4 [Homo sapiens] ((#0))	776	2.827240124680941e-06
gi|198436292|ref|XP_002127932.1|(382-524:541) PREDICTED: similar to cereblon [Ciona intestinalis] ((#2 <= #0))   E=4e-46 s/c=1.31 id=27% cov=89%	493	0.08148265446946823
gi|224088992|ref|XP_002308593.1|(424-536:549) predicted protein [Populus trichocarpa]   gi|222854569|gb|EEE92116.1| predicted protein [Populus trichocarpa] ((#0	452	0.8982043124183073
gi|320167832|gb|EFW44731.1|(423-533:548) cereblon [Capsaspora owczarzaki ATCC 30864] ((#0))   E=6e-25 s/c=1.05 id=45% cov=88%	769	0.8270155684647092
gi|391346938|ref|XP_003747722.1|(246-359:385) PREDICTED: protein cereblon-like [Metaseiulus occidentalis] ((#0))   E=2e-23 s/c=0.98 id=42% cov=90%	812	0.6079792707638826
gi|357128733|ref|XP_003566024.1|(426-542:543) PREDICTED: protein cereblon-like [Brachypodium distachyon] ((#0))   E=4e-38 s/c=1.37 id=37% cov=89%	534	0.11045487688163347
gi|326928162|ref|XP_003210250.1|(334-462:462) PREDICTED: protein cereblon-like [Meleagris gallopavo] ((#0))   E=1e-63 s/c=1.90 id=86% cov=101%	45	0.06934941251875237
gi|224066643|ref|XP_002186999.1|(318-446:446) PREDICTED: similar to cereblon [Taeniopygia guttata] ((#0))   E=4e-61 s/c=1.84 id=80% cov=101%	116	0.38231440958818586
gi|345308117|ref|XP_001506395.2|(280-408:408) PREDICTED: protein cereblon-like isoform 1 [Ornithorhynchus anatinus] ((#0))  E=1e-59 s/c=1.80 id=84% cov=101%	453	0.05486220326318003
gi|51591891|ref|NP_001003996.1|(305-431:431) protein cereblon [Danio rerio]   gi|82181670|sp|Q68EH9.1|CRBN_DANRE RecName: Full=Protein cereblon; Short=zcrbn   g	840	0.5344530626460883
gi|56118478|ref|NP_001008192.1|(318-447:447) protein cereblon [Xenopus (Silurana) tropicalis]   gi|73918920|sp|Q640S2.1|CRBN_XENTR RecName: Full=Protein cereblo	606	0.1353651028551801
gi|47229580|emb|CAG06776.1|(316-442:443) unnamed protein product [Tetraodon nigroviridis] ((#0))   E=1e-58 s/c=1.80 id=76% cov=100%	961	0.4657308655853224
gi|348507942|ref|XP_003441514.1|(305-433:433) PREDICTED: protein cereblon-like [Oreochromis niloticus] ((#0))   E=2e-57 s/c=1.74 id=77% cov=101%	135	0.3355901597873705
gi|291221050|ref|XP_002730537.1|(397-511:520) PREDICTED: hypothetical protein [Saccoglossus kowalevskii] ((#0))   E=4e-54 s/c=1.85 id=64% cov=91%	235	0.2454394645442881
gi|241651478|ref|XP_002410310.1|(291-407:409) protein cereblon, putative [Ixodes scapularis]   gi|215501585|gb|EEC11079.1| protein cereblon, putative [Ixodes sc	116	0.9775337555996854
gi|156341339|ref|XP_001620730.1|(267-403:403) hypothetical protein NEMVEDRAFT_v1g147225 [Nematostella vectensis]   gi|156382510|ref|XP_001632596.1| predicted pr	815	0.8750655176688731
gi|218197118|gb|EEC79545.1|(441-558:558) hypothetical protein OsI_20665 [Oryza sativa Indica Group] ((#0))   E=7e-48 s/c=1.64 id=47% cov=93%	744	0.5820948716712672
gi|326526789|dbj|BAK00783.1|(401-517:519) predicted protein [Hordeum vulgare subsp. vulgare] ((#0))   E=4e-42 s/c=1.48 id=42% cov=92%	928	0.2210581365988502
gi|302819468|ref|XP_002991404.1|(429-541:541) hypothetical protein SELMODRAFT_269807 [Selaginella moellendorffii]   gi|300140797|gb|EFJ07516.1| hypothetical pro	977	0.7885239254885488
gi|255550958|ref|XP_002516527.1|(439-550:550) ATP-dependent peptidase, putative [Ricinus communis]   gi|223544347|gb|EEF45868.1| ATP-dependent peptidase, putati	90	0.16744515769724
gi|345484423|ref|XP_001603993.2|(310-429:442) PREDICTED: protein cereblon-like [Nasonia vitripennis] ((#0))   E=5e-43 s/c=1.48 id=45% cov=93%	550	0.3017922043241068
gi|170584700|ref|XP_001897132.1|(318-425:444) Conserved hypothetical protein [Brugia malayi]   gi|158595462|gb|EDP34015.1| Conserved hypothetical protein, putat	828	0.7762461052906584
gi|226469810|emb|CAX70186.1|(459-576:581) hypothetical protein [Schistosoma japonicum] ((#0))   E=1e-41 s/c=1.46 id=38% cov=91%	846	0.9631864936078814
gi|307176791|gb|EFN66188.1|(282-410:412) Protein cereblon [Camponotus floridanus] ((#1 <= #0))   E=2e-22 s/c=0.84 id=42% cov=94%	444	0.009345582004460118
gi|380024579|ref|XP_003696072.1|(278-403:406) PREDICTED: protein cereblon-like [Apis florea] ((#1 <= #0))   E=4e-21 s/c=0.83 id=43% cov=92%	210	0.9979701512338994
gi|168028923|ref|XP_001766976.1|(383-502:502) predicted protein [Physcomitrella patens subsp. patens]   gi|162681718|gb|EDQ68142.1| predicted protein [Physcomit	997	0.019439448202031695
gi|357136387|ref|XP_003569786.1|(409-527:528) PREDICTED: protein cereblon-like [Brachypodium distachyon] ((#0))   E=1e-40 s/c=1.41 id=39% cov=94%	229	0.11483770167228025
gi|358333500|dbj|GAA33019.2|(488-603:610) cereblon [Clonorchis sinensis] ((#0))   E=2e-40 s/c=1.45 id=38% cov=90%	265	0.26431253487754114
gi|168044472|ref|XP_001774705.1|(382-490:493) predicted protein [Physcomitrella patens subsp. patens]   gi|162674005|gb|EDQ60520.1| predicted protein [Physcomit	974	0.2320601098718842
gi|307192272|gb|EFN75562.1|(283-407:418) Protein cereblon [Harpegnathos saltator] ((#1 <= #0))   E=4e-44 s/c=1.44 id=40% cov=91%	934	0.8650818532993864
